Title,Region,Host_Game,Gamepad_Compatibility,Status,Notes
007 - Quantum of Solace,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
A Boy and His Blob,USA,Rhythm Heaven Fever (USA),Works,Works,Managed to get the GamePad to work! Full instructions available on GBATemp. FIX94's GetExtType Patcher doesn't work. Works on EUR region console.[3]
A Shadow's Tale,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Lost in Shadow - US. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
AC DC Live - Rock Band Track Pack,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Action Girlz Racing,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Agatha Christie - And Then There Were None,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Alien Syndrome,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Alien Syndrome,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Alone in the Dark,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
AMF Bowling Pinbusters!,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
AMF Bowling World Lanes,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Works on EUR region console using patch video mode.[3]
Animal Crossing - City Folk,USA,Rhythm Heaven Fever (USA),Issues,Works,"fw.img patched. GamePad control works however there is a scrolling message. Can't get past the Player Name input screen, as motion control is needed. Also works on EUR region console.[3]"
Anno - Create a New World,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Dawn of Discovery - US. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Another Code: R,EUR,Xenoblade Chronicles (USA),Doesn't work,Works,"1:1 clean dump (CleanRip), DON'T SCRUB AND/OR TRIM. Also works on USA region console.[3]"
Anubis II,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Arc Rise Fantasia,USA,Xenoblade Chronicles (USA),Works,Works,"1:1 dump, clean fw.img. Works on EUR region console using patch video mode.[3]"
Avatar - The Last Airbender,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Avatar - The Legend of Aang - EU. Game doesn't work on EUR region console, use EUR version instead.[3]"
Avatar - The Last Airbender - Into the Inferno,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Avatar - The Legend of Aang - Into the Inferno - EU. Game doesn't work on EUR region console, use EUR version instead.[3]"
Avatar - The Last Airbender - The Burning Earth,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Avatar - The Legend of Aang - The Burning Earth - EU. Game doesn't work on EUR region console, use EUR version instead.[3]"
Avatar - The Legend of Aang,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Avatar - The Last Airbender - US. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Avatar - The Legend of Aang - Into the Inferno,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Avatar - The Last Airbender - Into the Inferno - US. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Avatar - The Legend of Aang - The Burning Earth,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Avatar - The Last Airbender - The Burning Earth - US. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Back to the Future - The Game,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Baroque,USA,Rhythm Heaven Fever (USA),Works,Works,Must use Force CC Connected option in TeconMoon WiiVC Injector. Also works on EUR region console.[3]
Batman - The Brave and the Bold,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Battalion Wars 2,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Battalion Wars 2,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Big Brain Academy - Wii Degree,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Big Brain Academy - Wii Degree,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Big League Sports - Summer,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Bit.Trip Complete,USA,Rhythm Heaven Fever (USA),Issues,Issues,Set to horizontal Wii Remote emulation. Issues with different games in the collection supporting different controllers. See full notes on GBATemp.[3]
Bleach Versus Crusade (English Patch),JAP,Rhythm Heaven Fever (USA),Works,Works,"Game is JAP only release, English patched and region patched, confirmed working on EUR region console, untested on USA region console.[3]"
Bomberman,JAP,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game does not work on EUR region console, NTSC-J to PAL video mode patch must be applied. Not tested on USA region console.[3]"
Bomberman Land Wii,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game does not support Classic Controller. Also known as Bombermand Land - US. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Bomberman Land,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Also known as Bombermand Land Wii - EU. Game doesn't work on EUR region console, use EUR version instead.[3]"
Boom Blox - Bash Party,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Boom Blox - Bash Party,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Brave - A Warrior's Tale,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Brave - A Warrior's Tale,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Broken Sword - Shadow of the Templars - The Director's Cut,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Brunswick Pro Bowling,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Brunswick Pro Bowling,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Brunswick Zone Cosmic Bowling,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Game doesn't work on EUR region console.[3]
Bully - Scholarship Edition,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game does not support Classic Controller, also works on EUR region console.[3]"
Bust-a-Move,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Even though game supports Classic Controller, it is only used as an additional/secondary controller, game still requires pointer motion controls. Also known as Bust-a-Move BASH! - US.[3]"
Bust-a-Move BASH!,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Same notes as above, also known as Bust-a-Move - EU. Game doesn't work on EUR region console, use EUR version instead.[3]"
Call of Duty 3,USA,Xenoblade Chronicles (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Call of Duty: Black Ops,USA,Xenoblade Chronicles (USA),Works,Works,Game may require CC resync. Also works on EUR region console.[3]
Call of Duty: Modern Warfare - Reflex Edition,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Game doesn't support Classic Controller. Also works on EUR region console.[3]
Call of Duty: Modern Warfare 3,USA,Xenoblade Chronicles (USA),Works,Works,Game may require CC resync. Also works on EUR region console.[3]
Call of Duty: World at War,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Game doesn't support Classic Controller. Also works on EUR region console.[3]
Calling,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Calling,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Captain Rainbow,JAP,Rhythm Heaven Fever (USA),Doesn't work,Works,Some Japanese text doesn't show correctly on USA/EUR consoles due to system language. Issue not present on JAP Wii U.[3]
Cars,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Cartoon Network - Punch Time Explosion XL,USA,Rhythm Heaven Fever (USA),Works,Works,Also works on EUR region console.[3]
Castlevania Judgement,USA,Super Mario Galaxy 2 (EUR),Works,Works,Also works on EUR region console.[3]
Chaotic - Shadow Warriors,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Cocoto Magic Circus,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Conduit 2,USA,Rhythm Heaven Fever (USA),Works,Works,Also works on EUR region console.[3]
Cooking Mama - Cook Off,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Cooking Mama - World Kitchen,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also known as Cooking Mama 2 - World Kitchen.[3]
Game Party 3,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Geometry Wars - Galaxies,USA,Rhythm Heaven Fever (USA),Works,Works,"TeconMoon v3.0.1, use ""Force Classic Controller Connected"" option. Also works on EUR region console.[3]"
Ghost Squad,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Ghost Squad,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Ghostbusters - The Video Game,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Go Vacation,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Go Vacation,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Godziller Unleashed,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
GoldenEye 007,EUR,Rhythm Heaven Fever (USA),Works,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
GoldenEye 007,USA,Super Mario Galaxy 2 (EUR) / Xenoblade Chronicles (USA),Works,Works,Also works on EUR region console.[3]
Gintama Yorozuya Tuve,JAP,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR/USA region console.[3]
Grand Slam Tennis,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Green Day - Rock Band,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Guilty Gear XX Accent Core,USA,Xenoblade Chronicles (USA),Works,Works,Use Force CC patch. Multiplayer with Wii Remote + Nunchuck may have random button presses.[3]
Ikenie no Yoru (Night of the Sacrifice),JAP,Rhythm Heaven Fever (USA),Doesn't Work,Doesn't Work,Japan-only release. Test indicates it 'does not work' with RHF (USA) host. English fan translation patch exists.
Kirby's Epic Yarn,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,"[3] Gamepad as CC is unable to sync after loading a Classic title, but Gamepad as horizontal Wiimote emulation works as intended.[3]"
Kirby's Return to Dream Land,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,[3] Use the GamePad's power button to safely shut down the console instead. Also works on EUR region console.[3]
Red Steel 2,USA,Xenoblade Chronicles (USA),Doesn't work,Works,"1:1 dump, stock fw.img. Also works on EUR region console.[3]"
Reload,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Resident Evil: The Darkside Chronicles,USA,Xenoblade Chronicles (USA),Doesn't work,Works,Also works on EUR region console.[3]
Resident Evil: The Umbrella Chronicles,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Resident Evil 4,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"With the Gamepad the game starts but we can not go beyond the screen that says to connect a nunchuk. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Resident Evil 4,USA,Xenoblade Chronicles (USA),Works,Works,"TeconMoon v3.0.1, use ""Force Classic Controller Connected"" option.[3]"
Resident Evil Archives: Resident Evil,EUR,Rhythm Heaven Fever (USA),Works,Works,"1:1 dump, stock fw.img. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Resident Evil Archives: Resident Evil,USA,Rhythm Heaven Fever (USA),Works,Works,"1:1 dump, stock fw.img, game doesn't work on EUR region console, use EUR version instead.[3]"
Resident Evil Archives: Resident Evil Zero,EUR,Rhythm Heaven Fever (USA),Works,Works,"1:1 dump, stock fw.img, when ask to connect nunchuck, Classic Controller needs to be re synced. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Resident Evil Archives: Resident Evil Zero,USA,Rhythm Heaven Fever (USA),Works,Works,"Same notes as EUR version above. Game doesn't work on EUR region console, use EUR version instead.[3]"
Fishing Resort,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,[3][3]
Rock Band,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Rock Band 2,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Rock Band 3,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
The Sims 3,EUR,Rhythm Heaven Fever (USA),Doesn't Work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
The Simpsons Game,EUR,Rhythm Heaven Fever (USA),Doesn't Work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
The Simpsons Game,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
The Sky Crawlers: Innocent Aces,USA,Rhythm Heaven Fever (USA),Works,Works,Also works on EUR region console.[3]
Thor - God of Thunder,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Thrillville - Off the Rails,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tiger Woods PGA Tour 11,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tiger Woods PGA Tour 12 - The Masters,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tomb Raider - Anniversary,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tony Hawk's Downhill Jam,USA,Rhythm Heaven Fever (USA),Doesn't Work,Issues,Low framerate and too slow anomaly. Also works on EUR region console.[3]
